step,mass,mass_err_pct,swiss_cheese,neg_viol,over_viol
703,7780.79,-0.628505,9,0,0
704,7780.75,-0.628972,9,0,0
705,7780.82,-0.628093,18,0,0
706,7780.65,-0.630294,6,0,0
707,7780.84,-0.627856,9,0,0
708,7780.83,-0.627981,12,0,0
709,7781.08,-0.624769,12,0,0
710,7781.18,-0.623503,15,0,0
711,7781.4,-0.620666,9,0,0
712,7781.3,-0.621932,3,0,0
713,7781.46,-0.61988,9,0,0
714,7781.29,-0.62205,12,0,0
715,7781.49,-0.619568,12,0,0
716,7781.49,-0.619537,12,0,0
717,7781.56,-0.618645,15,0,0
718,7781.5,-0.619363,12,0,0
719,7781.7,-0.616862,3,0,0
720,7781.76,-0.616126,15,0,0
721,7781.88,-0.614592,12,0,0
722,7781.84,-0.615091,6,0,0
723,7782.1,-0.611786,12,0,0
724,7782.2,-0.61042,9,0,0
