ix,iy,x,y,T,ux,uy,rho
88,4,0.888889,0.040404,39723.3,0,0,nan
89,4,0.89899,0.040404,38717.7,0,0,nan
90,4,0.909091,0.040404,37561.8,0,0,nan
91,4,0.919192,0.040404,36074.1,0,0,nan
92,4,0.929293,0.040404,34322.9,0,0,nan
93,4,0.939394,0.040404,31960.4,0,0,nan
94,4,0.949495,0.040404,29046.6,0,0,nan
95,4,0.959596,0.040404,24998.4,0,0,nan
96,4,0.969697,0.040404,19476.4,0,0,nan
97,4,0.979798,0.040404,12956.2,0,0,nan
98,4,0.989899,0.040404,4338.66,0,0,nan
99,4,1,0.040404,0,0,0,nan
0,5,0,0.050505,1,0,0,nan
1,5,0.010101,0.050505,3833.57,0,0,nan
2,5,0.020202,0.050505,10064.7,0,0,nan
3,5,0.030303,0.050505,16141.2,0,0,nan
4,5,0.040404,0.050505,20948.3,0,0,nan
5,5,0.050505,0.050505,24995.9,0,0,nan
6,5,0.0606061,0.050505,28201.4,0,0,nan
7,5,0.0707071,0.050505,30718.2,0,0,nan
8,5,0.0808081,0.050505,32811.5,0,0,nan
9,5,0.0909091,0.050505,34475.6,0,0,nan
10,5,0.10101,0.050505,35902.3,0,0,nan
11,5,0.111111,0.050505,37068.4,0,0,nan
12,5,0.121212,0.050505,38087.1,0,0,nan
13,5,0.131313,0.050505,38942.7,0,0,nan
14,5,0.141414,0.050505,39699.7,0,0,nan
15,5,0.151515,0.050505,40350.3,0,0,nan
16,5,0.161616,0.050505,40931.5,0,0,nan
17,5,0.171717,0.050505,41440.3,0,0,nan
18,5,0.181818,0.050505,41898.4,0,0,nan
19,5,0.191919,0.050505,42305.1,0,0,nan
20,5,0.20202,0.050505,42673.7,0,0,nan
21,5,0.212121,0.050505,43004.6,0,0,nan
22,5,0.222222,0.050505,43305.9,0,0,nan
23,5,0.232323,0.050505,43578.8,0,0,nan
24,5,0.242424,0.050505,43828.4,0,0,nan
25,5,0.252525,0.050505,44055.7,0,0,nan
26,5,0.262626,0.050505,44264.2,0,0,nan
27,5,0.272727,0.050505,44455.1,0,0,nan
28,5,0.282828,0.050505,44630.4,0,0,nan
29,5,0.292929,0.050505,44791.3,0,0,nan
30,5,0.30303,0.050505,44939.2,0,0,nan
31,5,0.313131,0.050505,45075,0,0,nan
32,5,0.323232,0.050505,45199.8,0,0,nan
33,5,0.333333,0.050505,45314.3,0,0,nan
34,5,0.343434,0.050505,45419.4,0,0,nan
35,5,0.353535,0.050505,45515.4,0,0,nan
36,5,0.363636,0.050505,45603,0,0,nan
37,5,0.373737,0.050505,45682.7,0,0,nan
38,5,0.383838,0.050505,45754.9,0,0,nan
39,5,0.393939,0.050505,45820.1,0,0,nan
40,5,0.40404,0.050505,45878.4,0,0,nan
41,5,0.414141,0.050505,45930.2,0,0,nan
42,5,0.424242,0.050505,45975.7,0,0,nan
43,5,0.434343,0.050505,46015.1,0,0,nan
44,5,0.444444,0.050505,46048.6,0,0,nan
45,5,0.454545,0.050505,46076.4,0,0,nan
46,5,0.464646,0.050505,46098.4,0,0,nan
47,5,0.474747,0.050505,46115,0,0,nan
48,5,0.484848,0.050505,46126.1,0,0,nan
49,5,0.494949,0.050505,46131.7,0,0,nan
