x_um,T_K,fl,T_analytical,front_analytical_um,time_ms,snapshot
1293.23,1878,0,1878,21.5242,1,2
1298.25,1878,0,1878,21.5242,1,2
1303.26,1878,0,1878,21.5242,1,2
1308.27,1878,0,1878,21.5242,1,2
1313.28,1878,0,1878,21.5242,1,2
1318.3,1878,0,1878,21.5242,1,2
1323.31,1878,0,1878,21.5242,1,2
1328.32,1878,0,1878,21.5242,1,2
1333.33,1878,0,1878,21.5242,1,2
1338.35,1878,0,1878,21.5242,1,2
1343.36,1878,0,1878,21.5242,1,2
1348.37,1878,0,1878,21.5242,1,2
1353.38,1878,0,1878,21.5242,1,2
1358.4,1878,0,1878,21.5242,1,2
1363.41,1878,0,1878,21.5242,1,2
1368.42,1878,0,1878,21.5242,1,2
1373.43,1878,0,1878,21.5242,1,2
1378.45,1878,0,1878,21.5242,1,2
1383.46,1878,0,1878,21.5242,1,2
1388.47,1878,0,1878,21.5242,1,2
1393.48,1878,0,1878,21.5242,1,2
1398.5,1878,0,1878,21.5242,1,2
1403.51,1878,0,1878,21.5242,1,2
1408.52,1878,0,1878,21.5242,1,2
1413.53,1878,0,1878,21.5242,1,2
1418.55,1878,0,1878,21.5242,1,2
1423.56,1878,0,1878,21.5242,1,2
1428.57,1878,0,1878,21.5242,1,2
1433.58,1878,0,1878,21.5242,1,2
1438.6,1878,0,1878,21.5242,1,2
1443.61,1878,0,1878,21.5242,1,2
1448.62,1878,0,1878,21.5242,1,2
1453.63,1878,0,1878,21.5242,1,2
1458.65,1878,0,1878,21.5242,1,2
1463.66,1878,0,1878,21.5242,1,2
1468.67,1878,0,1878,21.5242,1,2
1473.68,1878,0,1878,21.5242,1,2
1478.7,1878,0,1878,21.5242,1,2
1483.71,1878,0,1878,21.5242,1,2
1488.72,1878,0,1878,21.5242,1,2
1493.73,1878,0,1878,21.5242,1,2
1498.75,1878,0,1878,21.5242,1,2
1503.76,1878,0,1878,21.5242,1,2
1508.77,1878,0,1878,21.5242,1,2
1513.78,1878,0,1878,21.5242,1,2
1518.8,1878,0,1878,21.5242,1,2
1523.81,1878,0,1878,21.5242,1,2
1528.82,1878,0,1878,21.5242,1,2
1533.83,1878,0,1878,21.5242,1,2
1538.85,1878,0,1878,21.5242,1,2
1543.86,1878,0,1878,21.5242,1,2
1548.87,1878,0,1878,21.5242,1,2
1553.88,1878,0,1878,21.5242,1,2
1558.9,1878,0,1878,21.5242,1,2
1563.91,1878,0,1878,21.5242,1,2
1568.92,1878,0,1878,21.5242,1,2
1573.93,1878,0,1878,21.5242,1,2
1578.95,1878,0,1878,21.5242,1,2
1583.96,1878,0,1878,21.5242,1,2
1588.97,1878,0,1878,21.5242,1,2
1593.98,1878,0,1878,21.5242,1,2
1599,1878,0,1878,21.5242,1,2
1604.01,1878,0,1878,21.5242,1,2
1609.02,1878,0,1878,21.5242,1,2
1614.04,1878,0,1878,21.5242,1,2
1619.05,1878,0,1878,21.5242,1,2
1624.06,1878,0,1878,21.5242,1,2
1629.07,1878,0,1878,21.5242,1,2
1634.09,1878,0,1878,21.5242,1,2
1639.1,1878,0,1878,21.5242,1,2
1644.11,1878,0,1878,21.5242,1,2
1649.12,1878,0,1878,21.5242,1,2
1654.14,1878,0,1878,21.5242,1,2
1659.15,1878,0,1878,21.5242,1,2
1664.16,1878,0,1878,21.5242,1,2
1669.17,1878,0,1878,21.5242,1,2
1674.19,1878,0,1878,21.5242,1,2
1679.2,1878,0,1878,21.5242,1,2
1684.21,1878,0,1878,21.5242,1,2
1689.22,1878,0,1878,21.5242,1,2
1694.24,1878,0,1878,21.5242,1,2
1699.25,1878,0,1878,21.5242,1,2
1704.26,1878,0,1878,21.5242,1,2
1709.27,1878,0,1878,21.5242,1,2
1714.29,1878,0,1878,21.5242,1,2
1719.3,1878,0,1878,21.5242,1,2
1724.31,1878,0,1878,21.5242,1,2
1729.32,1878,0,1878,21.5242,1,2
1734.34,1878,0,1878,21.5242,1,2
1739.35,1878,0,1878,21.5242,1,2
1744.36,1878,0,1878,21.5242,1,2
1749.37,1878,0,1878,21.5242,1,2
1754.39,1878,0,1878,21.5242,1,2
1759.4,1878,0,1878,21.5242,1,2
1764.41,1878,0,1878,21.5242,1,2
1769.42,1878,0,1878,21.5242,1,2
1774.44,1878,0,1878,21.5242,1,2
1779.45,1878,0,1878,21.5242,1,2
1784.46,1878,0,1878,21.5242,1,2
1789.47,1878,0,1878,21.5242,1,2
1794.49,1878,0,1878,21.5242,1,2
1799.5,1878,0,1878,21.5242,1,2
1804.51,1878,0,1878,21.5242,1,2
1809.52,1878,0,1878,21.5242,1,2
1814.54,1878,0,1878,21.5242,1,2
1819.55,1878,0,1878,21.5242,1,2
1824.56,1878,0,1878,21.5242,1,2
1829.57,1878,0,1878,21.5242,1,2
1834.59,1878,0,1878,21.5242,1,2
1839.6,1878,0,1878,21.5242,1,2
1844.61,1878,0,1878,21.5242,1,2
1849.62,1878,0,1878,21.5242,1,2
1854.64,1878,0,1878,21.5242,1,2
1859.65,1878,0,1878,21.5242,1,2
