ix,iy,x,y,T_K,theta,ux_star,uy_star
19,5,0.395833,0.104167,302.447,0.744745,2.89701,-0.301522
20,5,0.416667,0.104167,302.265,0.726462,2.98895,-0.251949
21,5,0.4375,0.104167,302.077,0.707724,3.06427,-0.201872
22,5,0.458333,0.104167,301.885,0.688504,3.1227,-0.151585
23,5,0.479167,0.104167,301.688,0.668768,3.16409,-0.10129
24,5,0.5,0.104167,301.485,0.648474,3.18833,-0.0511088
25,5,0.520833,0.104167,301.276,0.627579,3.19538,-0.00108398
26,5,0.541667,0.104167,301.06,0.606049,3.18523,0.048783
27,5,0.5625,0.104167,300.838,0.583838,3.15788,0.0985548
28,5,0.583333,0.104167,300.609,0.560901,3.11336,0.148303
29,5,0.604167,0.104167,300.372,0.537231,3.05169,0.198116
30,5,0.625,0.104167,300.128,0.512769,2.97291,0.248073
31,5,0.645833,0.104167,299.875,0.487506,2.87712,0.298207
32,5,0.666667,0.104167,299.614,0.461432,2.76441,0.348474
33,5,0.6875,0.104167,299.345,0.434546,2.63501,0.398723
34,5,0.708333,0.104167,299.069,0.40686,2.48925,0.448643
35,5,0.729167,0.104167,298.784,0.378403,2.32766,0.497706
36,5,0.75,0.104167,298.492,0.349243,2.15103,0.545117
37,5,0.770833,0.104167,298.194,0.319446,1.96052,0.589733
38,5,0.791667,0.104167,297.891,0.28912,1.75772,0.629979
39,5,0.8125,0.104167,297.584,0.258411,1.54484,0.663767
40,5,0.833333,0.104167,297.275,0.227475,1.32477,0.688395
41,5,0.854167,0.104167,296.965,0.196512,1.10127,0.70048
42,5,0.875,0.104167,296.658,0.165753,0.879119,0.69588
43,5,0.895833,0.104167,296.355,0.135477,0.664181,0.669708
44,5,0.916667,0.104167,296.06,0.105969,0.463579,0.616408
45,5,0.9375,0.104167,295.776,0.0775513,0.285783,0.530059
46,5,0.958333,0.104167,295.505,0.0505493,0.140807,0.404915
47,5,0.979167,0.104167,295.253,0.025293,0.0405924,0.236187
48,5,1,0.104167,295,0,0,0
0,6,0,0.125,305,1,0,0
1,6,0.0208333,0.125,304.917,0.991684,0.0304404,-0.187701
2,6,0.0416667,0.125,304.83,0.983041,0.107735,-0.344334
3,6,0.0625,0.125,304.734,0.973434,0.22257,-0.480031
4,6,0.0833333,0.125,304.63,0.963,0.367669,-0.593015
5,6,0.104167,0.125,304.518,0.95181,0.536912,-0.682948
6,6,0.125,0.125,304.399,0.939899,0.724865,-0.750573
7,6,0.145833,0.125,304.273,0.927322,0.926559,-0.797339
8,6,0.166667,0.125,304.141,0.914124,1.13742,-0.825078
9,6,0.1875,0.125,304.004,0.900372,1.35324,-0.835801
10,6,0.208333,0.125,303.861,0.886118,1.5702,-0.831562
11,6,0.229167,0.125,303.714,0.871408,1.78487,-0.814349
12,6,0.25,0.125,303.563,0.856287,1.99424,-0.786058
13,6,0.270833,0.125,303.408,0.840793,2.19564,-0.748447
14,6,0.291667,0.125,303.249,0.824948,2.38683,-0.703123
15,6,0.3125,0.125,303.088,0.808762,2.56587,-0.651529
16,6,0.333333,0.125,302.922,0.792239,2.73116,-0.594953
17,6,0.354167,0.125,302.754,0.775385,2.8814,-0.534519
18,6,0.375,0.125,302.582,0.758179,3.01551,-0.471198
19,6,0.395833,0.125,302.406,0.740607,3.13269,-0.40581
20,6,0.416667,0.125,302.226,0.722638,3.23227,-0.339022
21,6,0.4375,0.125,302.043,0.704254,3.31379,-0.271373
22,6,0.458333,0.125,301.854,0.685419,3.37691,-0.203268
23,6,0.479167,0.125,301.661,0.666089,3.4214,-0.134999
24,6,0.5,0.125,301.462,0.646219,3.44708,-0.0667549
25,6,0.520833,0.125,301.258,0.625763,3.45389,0.00136713
26,6,0.541667,0.125,301.047,0.604688,3.44177,0.0693424
27,6,0.5625,0.125,300.829,0.582932,3.41073,0.1372
28,6,0.583333,0.125,300.605,0.560455,3.36077,0.205004
29,6,0.604167,0.125,300.372,0.537228,3.29198,0.272818
30,6,0.625,0.125,300.132,0.513205,3.20441,0.340686
31,6,0.645833,0.125,299.884,0.488358,3.09823,0.40859
32,6,0.666667,0.125,299.627,0.462674,2.97366,0.476404
33,6,0.6875,0.125,299.361,0.436139,2.83103,0.543859
34,6,0.708333,0.125,299.088,0.408771,2.67084,0.610472
35,6,0.729167,0.125,298.806,0.380597,2.49382,0.675475
36,6,0.75,0.125,298.517,0.351666,2.30099,0.737744
37,6,0.770833,0.125,298.221,0.322052,2.09376,0.795717
38,6,0.791667,0.125,297.919,0.291858,1.87403,0.847285
39,6,0.8125,0.125,297.612,0.261224,1.64429,0.889702
40,6,0.833333,0.125,297.303,0.230304,1.40777,0.919495
41,6,0.854167,0.125,296.993,0.199295,1.16852,0.932354
42,6,0.875,0.125,296.684,0.168427,0.931583,0.923099
43,6,0.895833,0.125,296.38,0.137952,0.703081,0.885666
44,6,0.916667,0.125,296.082,0.108157,0.490358,0.813221
45,6,0.9375,0.125,295.793,0.0793304,0.302128,0.698378
46,6,0.958333,0.125,295.518,0.0518005,0.148783,0.533603
47,6,0.979167,0.125,295.259,0.0259277,0.0428452,0.311723
48,6,1,0.125,295,0,0,0
0,7,0,0.145833,305,1,0,0
1,7,0.0208333,0.145833,304.912,0.991168,0.031951,-0.245033
2,7,0.0416667,0.145833,304.82,0.982013,0.113641,-0.444854
3,7,0.0625,0.145833,304.718,0.971808,0.235157,-0.615253
4,7,0.0833333,0.145833,304.608,0.96077,0.388513,-0.755977
5,7,0.104167,0.145833,304.49,0.949005,0.566994,-0.867652
6,7,0.125,0.145833,304.366,0.936584,0.764746,-0.951666
7,7,0.145833,0.145833,304.236,0.923578,0.97652,-1.00992
8,7,0.166667,0.145833,304.1,0.910016,1.19757,-1.04468
9,7,0.1875,0.145833,303.96,0.895972,1.42356,-1.05835
10,7,0.208333,0.145833,303.815,0.881491,1.65061,-1.05339
11,7,0.229167,0.145833,303.666,0.866611,1.8752,-1.03218
12,7,0.25,0.145833,303.514,0.851379,2.09423,-0.997008
13,7,0.270833,0.145833,303.358,0.835834,2.305,-0.950021
14,7,0.291667,0.145833,303.2,0.819977,2.50514,-0.89318
15,7,0.3125,0.145833,303.038,0.80383,2.69265,-0.828268
16,7,0.333333,0.145833,302.874,0.787402,2.86585,-0.756877
17,7,0.354167,0.145833,302.707,0.770676,3.02333,-0.680401
18,7,0.375,0.145833,302.536,0.753644,3.16396,-0.600056
19,7,0.395833,0.145833,302.363,0.736282,3.28681,-0.516876
20,7,0.416667,0.145833,302.186,0.718567,3.39118,-0.431708
21,7,0.4375,0.145833,302.005,0.700464,3.47651,-0.345239
22,7,0.458333,0.145833,301.819,0.681937,3.54238,-0.258003
23,7,0.479167,0.145833,301.629,0.662943,3.58851,-0.17039
24,7,0.5,0.145833,301.434,0.64343,3.61469,-0.082666
25,7,0.520833,0.145833,301.233,0.623343,3.6208,0.00501362
26,7,0.541667,0.145833,301.026,0.602646,3.60675,0.0925728
27,7,0.5625,0.145833,300.813,0.581281,3.57255,0.180003
28,7,0.583333,0.145833,300.592,0.559201,3.5182,0.267327
29,7,0.604167,0.145833,300.364,0.536359,3.44381,0.354567
30,7,0.625,0.145833,300.127,0.512708,3.3495,0.441712
31,7,0.645833,0.145833,299.882,0.488226,3.23549,0.528671
32,7,0.666667,0.145833,299.629,0.462885,3.1021,0.615211
33,7,0.6875,0.145833,299.367,0.43667,2.9498,0.700905
34,7,0.708333,0.145833,299.096,0.409589,2.77924,0.785069
35,7,0.729167,0.145833,298.817,0.381671,2.59132,0.866659
36,7,0.75,0.145833,298.53,0.352957,2.38726,0.944209
37,7,0.770833,0.145833,298.235,0.323532,2.1687,1.01571
38,7,0.791667,0.145833,297.935,0.293481,1.93778,1.0785
39,7,0.8125,0.145833,297.629,0.262946,1.69721,1.12919
40,7,0.833333,0.145833,297.321,0.232086,1.45046,1.16352
41,7,0.854167,0.145833,297.011,0.20108,1.20176,1.1763
42,7,0.875,0.145833,296.702,0.170166,0.956326,1.16133
