X_um,Z_um,T_K
46.00,67.00,300.0
48.00,67.00,300.0
50.00,67.00,300.0
52.00,67.00,300.0
54.00,67.00,300.0
56.00,67.00,300.0
58.00,67.00,300.0
60.00,67.00,300.0
62.00,67.00,300.0
64.00,67.00,300.0
66.00,67.00,300.1
68.00,67.00,300.1
70.00,67.00,300.2
72.00,67.00,300.3
74.00,67.00,300.5
76.00,67.00,300.7
78.00,67.00,301.0
80.00,67.00,301.3
82.00,67.00,301.8
84.00,67.00,302.3
86.00,67.00,303.0
88.00,67.00,303.6
90.00,67.00,304.4
92.00,67.00,305.1
94.00,67.00,305.8
96.00,67.00,306.4
98.00,67.00,306.9
100.00,67.00,307.2
102.00,67.00,307.3
104.00,67.00,307.3
106.00,67.00,307.0
108.00,67.00,306.5
110.00,67.00,305.9
112.00,67.00,305.2
114.00,67.00,304.4
116.00,67.00,303.7
118.00,67.00,302.9
120.00,67.00,302.3
122.00,67.00,301.7
124.00,67.00,301.2
126.00,67.00,300.9
128.00,67.00,300.6
130.00,67.00,300.4
132.00,67.00,300.3
134.00,67.00,300.2
136.00,67.00,300.1
138.00,67.00,300.1
140.00,67.00,300.0
142.00,67.00,300.0
144.00,67.00,300.0
146.00,67.00,300.0
148.00,67.00,300.0
150.00,67.00,300.0
152.00,67.00,300.0
154.00,67.00,300.0
156.00,67.00,300.0
158.00,67.00,300.0
160.00,67.00,300.0
162.00,67.00,300.0
164.00,67.00,300.0
166.00,67.00,300.0
168.00,67.00,300.0
170.00,67.00,300.0
172.00,67.00,300.0
174.00,67.00,300.0
176.00,67.00,300.0
178.00,67.00,300.0
180.00,67.00,300.0
182.00,67.00,300.0
184.00,67.00,300.0
186.00,67.00,300.0
188.00,67.00,300.0
190.00,67.00,300.0
192.00,67.00,300.0
194.00,67.00,300.0
196.00,67.00,300.0
198.00,67.00,300.0
0.00,69.00,300.0
2.00,69.00,300.0
4.00,69.00,300.0
6.00,69.00,300.0
8.00,69.00,300.0
10.00,69.00,300.0
12.00,69.00,300.0
14.00,69.00,300.0
16.00,69.00,300.0
18.00,69.00,300.0
20.00,69.00,300.0
22.00,69.00,300.0
24.00,69.00,300.0
26.00,69.00,300.0
28.00,69.00,300.0
30.00,69.00,300.0
32.00,69.00,300.0
34.00,69.00,300.0
36.00,69.00,300.0
38.00,69.00,300.0
40.00,69.00,300.0
42.00,69.00,300.0
44.00,69.00,300.0
46.00,69.00,300.0
48.00,69.00,300.0
50.00,69.00,300.0
52.00,69.00,300.0
54.00,69.00,300.0
56.00,69.00,300.0
58.00,69.00,300.0
60.00,69.00,300.0
62.00,69.00,300.0
64.00,69.00,300.1
66.00,69.00,300.1
68.00,69.00,300.2
70.00,69.00,300.4
72.00,69.00,300.6
74.00,69.00,300.9
76.00,69.00,301.3
78.00,69.00,301.8
80.00,69.00,302.5
82.00,69.00,303.3
84.00,69.00,304.3
86.00,69.00,305.4
88.00,69.00,306.6
90.00,69.00,307.9
92.00,69.00,309.2
94.00,69.00,310.5
96.00,69.00,311.6
98.00,69.00,312.5
100.00,69.00,313.0
102.00,69.00,313.3
104.00,69.00,313.1
106.00,69.00,312.7
108.00,69.00,311.8
110.00,69.00,310.7
112.00,69.00,309.5
114.00,69.00,308.1
116.00,69.00,306.7
118.00,69.00,305.4
120.00,69.00,304.2
122.00,69.00,303.2
124.00,69.00,302.3
126.00,69.00,301.6
128.00,69.00,301.1
130.00,69.00,300.7
132.00,69.00,300.5
134.00,69.00,300.3
136.00,69.00,300.2
138.00,69.00,300.1
140.00,69.00,300.1
142.00,69.00,300.0
144.00,69.00,300.0
146.00,69.00,300.0
148.00,69.00,300.0
150.00,69.00,300.0
152.00,69.00,300.0
154.00,69.00,300.0
156.00,69.00,300.0
158.00,69.00,300.0
160.00,69.00,300.0
162.00,69.00,300.0
164.00,69.00,300.0
166.00,69.00,300.0
168.00,69.00,300.0
170.00,69.00,300.0
172.00,69.00,300.0
174.00,69.00,300.0
176.00,69.00,300.0
178.00,69.00,300.0
180.00,69.00,300.0
182.00,69.00,300.0
184.00,69.00,300.0
186.00,69.00,300.0
188.00,69.00,300.0
190.00,69.00,300.0
192.00,69.00,300.0
194.00,69.00,300.0
196.00,69.00,300.0
198.00,69.00,300.0
0.00,71.00,300.0
2.00,71.00,300.0
4.00,71.00,300.0
6.00,71.00,300.0
8.00,71.00,300.0
10.00,71.00,300.0
12.00,71.00,300.0
14.00,71.00,300.0
16.00,71.00,300.0
18.00,71.00,300.0
20.00,71.00,300.0
22.00,71.00,300.0
24.00,71.00,300.0
26.00,71.00,300.0
28.00,71.00,300.0
30.00,71.00,300.0
32.00,71.00,300.0
34.00,71.00,300.0
